Date,TWD,TWS
2016-09-25 10:48:35,248,21.124
2016-09-25 10:48:39,255,22.361
2016-09-25 10:48:43,319,27.6947
2016-09-25 10:48:47,293,24.7637
2016-09-25 10:48:51,320,28.6159
2016-09-25 10:48:55,341,33.5681
2016-09-25 10:48:59,283,25.7447
2016-09-25 10:49:03,275,23.8936
2016-09-25 10:49:07,306,28.036
2016-09-25 10:49:11,334,30.3415
2016-09-25 10:49:15,303,28.0917
2016-09-25 10:49:19,290,24.1965
2016-09-25 10:49:24,324,28.2604
2016-09-25 10:49:28,320,28.9299
2016-09-25 10:49:32,251,19.1527
2016-09-25 10:49:36,290,22.1808
2016-09-25 10:49:40,294,23.047
2016-09-25 10:49:44,303,23.8768
2016-09-25 10:49:48,308,23.4859
2016-09-25 10:49:52,287,20.9838
2016-09-25 10:49:56,234,20.347
2016-09-25 10:50:00,245,25.9554
2016-09-25 10:50:04,243,25.534
2016-09-25 10:50:08,235,24.0446
2016-09-25 10:50:12,295,29.0781
2016-09-25 10:50:16,292,29.0394
2016-09-25 10:50:20,289,27.8033
2016-09-25 10:50:24,351,34.1332
2016-09-25 10:50:28,339,32.2671
2016-09-25 10:50:32,258,24.1383
2016-09-25 10:50:36,247,27.2473
2016-09-25 10:50:44,250,25.7987
2016-09-25 10:50:48,264,25.271
2016-09-25 10:50:52,269,27.911
2016-09-25 10:50:56,285,32.4092
2016-09-25 10:51:00,300,32.7261
2016-09-25 10:51:04,354,37.1101
2016-09-25 10:51:08,316,32.4595
2016-09-25 10:51:12,276,27.5472
2016-09-25 10:51:16,295,26.0001
2016-09-25 10:51:20,335,29.8394
2016-09-25 10:51:24,287,25.9619
2016-09-25 10:51:28,314,29.8166
2016-09-25 10:51:32,329,30.9082
2016-09-25 10:51:36,323,30.3677
2016-09-25 10:51:40,331,32.3958
2016-09-25 10:51:44,328,32.0501
2016-09-25 10:51:48,319,27.6109
2016-09-25 10:51:52,251,24.0059
2016-09-25 10:51:56,252,27.2205
2016-09-25 10:52:00,312,30.8222
2016-09-25 10:52:04,305,31.421
2016-09-25 10:52:09,301,28.519
2016-09-25 10:52:13,320,22.3688
2016-09-25 10:52:17,335,24.2416
2016-09-25 10:52:21,303,23.2726
2016-09-25 10:52:25,288,22.5692
2016-09-25 10:52:29,270,23.3899
2016-09-25 10:52:33,296,22.6904
2016-09-25 10:52:37,258,24.8882
2016-09-25 10:52:41,222,31.1237
2016-09-25 10:52:45,304,25.3172
2016-09-25 10:52:49,313,24.865
2016-09-25 10:52:53,274,25.1327
2016-09-25 10:52:57,273,26.767
2016-09-25 10:53:01,242,28.5899
2016-09-25 10:53:05,260,26.1871
2016-09-25 10:53:09,272,29.3851
2016-09-25 10:53:13,221,32.0726
2016-09-25 10:53:17,281,27.4958
2016-09-25 10:53:21,257,27.7714
2016-09-25 10:53:25,305,26.5251
2016-09-25 10:53:29,357,26.6227
2016-09-25 10:53:33,279,24.4887
2016-09-25 10:53:37,308,23.7414
2016-09-25 10:53:41,290,25.4929
2016-09-25 10:53:45,278,25.9007
2016-09-25 10:53:49,290,25.0448
2016-09-25 10:53:53,248,25.1328
2016-09-25 10:53:57,284,26.7701
